,id_hecho,n_victimas,fecha,hh,tipo_calle,comuna,longitud,latitud,victima,acusado,gravedad,Victima_fatal,Victima_no_fatal
0,2016-0001,1,2016-01-01,4.0,AVENIDA,8.0,-58.47533969,-34.68757022,MOTO,AUTO,FATAL,1,0
1,2016-0002,1,2016-01-02,1.0,AVENIDA,9.0,-58.50877521,-34.66977709,AUTO,PASAJEROS,FATAL,1,0
2,2016-0003,1,2016-01-03,7.0,AVENIDA,1.0,-58.39040293,-34.63189362,MOTO,AUTO,FATAL,1,0
3,2016-0004,1,2016-01-10,0.0,AVENIDA,8.0,-58.46503904,-34.68092974,MOTO,,FATAL,1,0
4,2016-0005,1,2016-01-21,5.0,AVENIDA,1.0,-58.38718297,-34.6224663,MOTO,PASAJEROS,FATAL,1,0
5,2016-0008,1,2016-01-24,18.0,AVENIDA,8.0,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,FATAL,1,0
6,2016-0009,1,2016-01-24,19.0,CALLE,11.0,-58.50095869,-34.6082544,MOTO,AUTO,FATAL,1,0
7,2016-0010,1,2016-01-29,15.0,AVENIDA,9.0,-58.50877521,-34.66977709,MOTO,AUTO,FATAL,1,0
8,2016-0012,1,2016-02-08,1.0,AVENIDA,1.0,-58.38048577,-34.61303893,MOTO,CARGAS,FATAL,1,0
9,2016-0013,1,2016-02-10,11.0,AVENIDA,1.0,-58.39114932,-34.62477387,PEATON,AUTO,FATAL,1,0
10,2016-0015,1,2016-02-14,5.0,AVENIDA,15.0,-58.4376002,-34.59912758,PEATON,AUTO,FATAL,1,0
11,2016-0016,1,2016-02-14,22.0,AVENIDA,4.0,-58.36882665,-34.64291993,MOTO,AUTO,FATAL,1,0
12,2016-0017,1,2016-02-15,16.0,AVENIDA,8.0,-58.44989671,-34.65970435,PEATON,MOTO,FATAL,1,0
13,2016-0019,1,2016-02-17,9.0,CALLE,9.0,-58.50990884,-34.65468721,PEATON,PASAJEROS,FATAL,1,0
14,2016-0020,1,2016-02-17,16.0,CALLE,1.0,-58.37952223,-34.60653282,PEATON,AUTO,FATAL,1,0
15,2016-0021,1,2016-02-17,23.0,AVENIDA,7.0,-58.45157703,-34.63063795,AUTO,AUTO,FATAL,1,0
16,2016-0022,1,2016-02-21,6.0,AVENIDA,1.0,-58.38144696,-34.61079875,MOTO,AUTO,FATAL,1,0
17,2016-0025,1,2016-02-28,4.0,AVENIDA,8.0,-58.46244952,-34.70524971,AUTO,AUTO,FATAL,1,0
18,2016-0026,1,2016-02-28,7.0,CALLE,12.0,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,FATAL,1,0
19,2016-0027,1,2016-02-28,9.0,AVENIDA,7.0,-58.44497874,-34.63852623,AUTO,AUTO,FATAL,1,0
20,2016-0028,1,2016-03-02,10.0,AVENIDA,1.0,-58.38199706,-34.60028648,PEATON,CARGAS,FATAL,1,0
21,2016-0029,1,2016-03-04,17.0,AVENIDA,12.0,-58.47378664,-34.54153077,PEATON,PASAJEROS,FATAL,1,0
22,2016-0031,1,2016-03-08,12.0,AVENIDA,8.0,-58.47064556,-34.69843756,MOTO,PASAJEROS,FATAL,1,0
23,2016-0034,1,2016-03-12,12.0,AVENIDA,4.0,-58.40623949,-34.65076549,PEATON,PASAJEROS,FATAL,1,0
24,2016-0035,1,2016-03-13,6.0,AVENIDA,3.0,-58.39228965,-34.60443527,MOTO,PASAJEROS,FATAL,1,0
25,2016-0036,1,2016-03-14,0.0,CALLE,4.0,-58.37813396,-34.63668504,MOTO,PASAJEROS,FATAL,1,0
26,2016-0037,1,2016-03-19,11.0,AVENIDA,7.0,-58.46275892,-34.64358293,MOTO,MOTO,FATAL,1,0
27,2016-0038,1,2016-03-21,8.0,AVENIDA,8.0,-58.49683458,-34.67892743,PEATON,PASAJEROS,FATAL,1,0
28,2016-0039,1,2016-03-23,1.0,AVENIDA,3.0,-58.40603217,-34.6088396,MOTO,PASAJEROS,FATAL,1,0
29,2016-0041,2,2016-03-29,11.0,AVENIDA,7.0,-58.4607655,-34.63350444,MOTO,CARGAS,FATAL,1,0
30,2016-0043,1,2016-03-30,18.0,AVENIDA,8.0,-58.47832463,-34.67494416,PEATON,CARGAS,FATAL,1,0
31,2016-0044,1,2016-03-31,19.0,AVENIDA,7.0,-58.43213235,-34.63693953,MOTO,MULTIPLE,FATAL,1,0
32,2016-0045,1,2016-04-11,10.0,AVENIDA,13.0,-58.46743471,-34.53476874,MOTO,,FATAL,1,0
33,2016-0047,1,2016-04-15,5.0,CALLE,1.0,-58.38247061,-34.62571878,PEATON,PASAJEROS,FATAL,1,0
34,2016-0048,1,2016-04-15,17.0,AVENIDA,15.0,-58.44759966,-34.5917024,PEATON,PASAJEROS,FATAL,1,0
35,2016-0049,1,2016-04-17,0.0,AUTOPISTA,4.0,-58.37714647568196,-34.63657525428238,,,FATAL,1,0
36,2016-0050,1,2016-04-19,9.0,AVENIDA,8.0,-58.47305463,-34.68550712,PEATON,PASAJEROS,FATAL,1,0
37,2016-0051,1,2016-04-20,4.0,AVENIDA,4.0,-58.40623949,-34.65076549,MOTO,CARGAS,FATAL,1,0
38,2016-0052,1,2016-04-20,20.0,AUTOPISTA,13.0,,,MOTO,,FATAL,1,0
39,2016-0053,1,2016-04-22,9.0,AVENIDA,12.0,-58.4842918,-34.57558053,PEATON,PASAJEROS,FATAL,1,0
40,2016-0054,1,2016-04-23,21.0,AUTOPISTA,8.0,-58.48695354,-34.68795245,MOTO,MOTO,FATAL,1,0
41,2016-0055,1,2016-04-25,20.0,AVENIDA,14.0,-58.40021959,-34.57964781,PEATON,CARGAS,FATAL,1,0
42,2016-0056,1,2016-04-26,4.0,AVENIDA,14.0,-58.42957885,-34.57660058,MOTO,OBJETO FIJO,FATAL,1,0
43,2016-0058,1,2016-05-04,14.0,CALLE,1.0,-58.38247542,-34.62556293,PEATON,MOTO,FATAL,1,0
44,2016-0059,1,2016-05-08,16.0,CALLE,1.0,-58.38222219,-34.62728101,PEATON,PASAJEROS,FATAL,1,0
45,2016-0064,1,2016-05-14,18.0,AVENIDA,10.0,-58.49485242,-34.62953445,PEATON,PASAJEROS,FATAL,1,0
46,2016-0065,1,2016-05-20,14.0,AVENIDA,6.0,-58.45227946,-34.61068024,PEATON,AUTO,FATAL,1,0
47,2016-0067,1,2016-05-21,17.0,AVENIDA,8.0,-58.48455411,-34.6751276,MOTO,PASAJEROS,FATAL,1,0
48,2016-0068,1,2016-05-22,22.0,AVENIDA,2.0,-58.39056593,-34.58418569,MOTO,PASAJEROS,FATAL,1,0
49,2016-0069,1,2016-05-23,3.0,AVENIDA,3.0,-58.39118948,-34.62704273,AUTO,CARGAS,FATAL,1,0
50,2016-0073,1,2016-06-11,15.0,CALLE,10.0,-58.49021952,-34.62025108,MOTO,CARGAS,FATAL,1,0
51,2016-0074,1,2016-06-12,6.0,AVENIDA,8.0,-58.49896559,-34.67732118,AUTO,AUTO,FATAL,1,0
52,2016-0075,1,2016-06-12,23.0,AUTOPISTA,8.0,-58.47461076,-34.66874679,PEATON,AUTO,FATAL,1,0
53,2016-0076,1,2016-06-13,16.0,AVENIDA,15.0,-58.46210891,-34.60356211,PEATON,PASAJEROS,FATAL,1,0
54,2016-0077,1,2016-06-13,21.0,AVENIDA,1.0,-58.3702777,-34.60536123,PEATON,PASAJEROS,FATAL,1,0
55,2016-0078,1,2016-06-13,23.0,AVENIDA,3.0,-58.40491455,-34.6146383,MOTO,MOTO,FATAL,1,0
56,2016-0079,1,2016-06-16,17.0,AVENIDA,13.0,-58.45504154,-34.54864492,AUTO,AUTO,FATAL,1,0
57,2016-0080,1,2016-06-18,6.0,AVENIDA,9.0,-58.52927982,-34.63931752,AUTO,,FATAL,1,0
58,2016-0081,1,2016-06-22,7.0,AVENIDA,12.0,-58.4872106,-34.55904606,MOTO,AUTO,FATAL,1,0
59,2016-0082,1,2016-06-27,18.0,AVENIDA,4.0,-58.42273092,-34.64228803,PEATON,AUTO,FATAL,1,0
60,2016-0083,1,2016-06-28,20.0,AVENIDA,6.0,-58.44788671,-34.62539009,PEATON,MOTO,FATAL,1,0
61,2016-0084,1,2016-06-29,22.0,CALLE,1.0,-58.38110563,-34.60135531,PEATON,PASAJEROS,FATAL,1,0
62,2016-0085,1,2016-06-29,22.0,AVENIDA,4.0,-58.42378834,-34.657341,MOTO,OTRO,FATAL,1,0
63,2016-0086,1,2016-06-30,16.0,AVENIDA,10.0,-58.48727942,-34.63652467,PEATON,PASAJEROS,FATAL,1,0
64,2016-0087,1,2016-07-02,0.0,AUTOPISTA,1.0,-58.37864583,-34.62907067,MOTO,OBJETO FIJO,FATAL,1,0
65,2016-0088,1,2016-07-11,15.0,CALLE,12.0,-58.5015175,-34.56767549,PEATON,AUTO,FATAL,1,0
66,2016-0089,1,2016-07-14,6.0,AUTOPISTA,13.0,-58.43233425,-34.55185825,PEATON,AUTO,FATAL,1,0
67,2016-0090,1,2016-07-14,22.0,AVENIDA,5.0,-58.41971993,-34.6111224,PEATON,PASAJEROS,FATAL,1,0
68,2016-0092,1,2016-07-15,11.0,AVENIDA,13.0,-58.46743471,-34.53476874,MOTO,CARGAS,FATAL,1,0
69,2016-0093,1,2016-07-17,3.0,AVENIDA,6.0,-58.44362126,-34.62301748,AUTO,AUTO,FATAL,1,0
70,2016-0095,1,2016-07-23,6.0,AVENIDA,11.0,-58.51713095,-34.59546519,MOTO,AUTO,FATAL,1,0
71,2016-0096,1,2016-07-25,7.0,AUTOPISTA,8.0,-58.47433193007387,-34.66684950051973,MOTO,CARGAS,FATAL,1,0
72,2016-0097,1,2016-07-26,18.0,CALLE,1.0,-58.39038605,-34.6156281,PEATON,AUTO,FATAL,1,0
73,2016-0098,1,2016-07-27,16.0,AVENIDA,3.0,-58.40042405,-34.62356174,MOTO,CARGAS,FATAL,1,0
74,2016-0099,1,2016-07-29,16.0,AVENIDA,11.0,-58.52340614,-34.59798754,CARGAS,CARGAS,FATAL,1,0
75,2016-0100,1,2016-08-03,23.0,AVENIDA,12.0,-58.49491054,-34.54795581,MOTO,OBJETO FIJO,FATAL,1,0
76,2016-0101,1,2016-08-07,19.0,AVENIDA,9.0,-58.52932872,-34.65014993,,,FATAL,1,0
77,2016-0102,1,2016-08-10,23.0,AVENIDA,9.0,-58.50011639,-34.67316502,MOTO,CARGAS,FATAL,1,0
78,2016-0104,1,2016-08-14,21.0,AVENIDA,9.0,-58.46635001,-34.65624369,MOTO,PASAJEROS,FATAL,1,0
79,2016-0105,1,2016-08-17,0.0,AVENIDA,15.0,-58.45343236,-34.58435809,PEATON,PASAJEROS,FATAL,1,0
80,2016-0106,1,2016-08-19,21.0,AVENIDA,1.0,-58.38090932,-34.58927731,PEATON,PASAJEROS,FATAL,1,0
81,2016-0107,1,2016-08-20,8.0,AUTOPISTA,4.0,-58.37157668,-34.65429986,MOTO,AUTO,FATAL,1,0
82,2016-0109,1,2016-08-24,5.0,AUTOPISTA,9.0,-58.52280139,-34.63659934,AUTO,OBJETO FIJO,FATAL,1,0
83,2016-0110,1,2016-08-24,20.0,AVENIDA,9.0,-58.51232237,-34.6590353,PEATON,,FATAL,1,0
84,2016-0111,1,2016-08-25,9.0,AUTOPISTA,15.0,-58.47461905,-34.57663634,MOTO,CARGAS,FATAL,1,0
85,2016-0112,1,2016-08-27,4.0,AUTOPISTA,1.0,-58.38268809,-34.62282019,MOTO,OBJETO FIJO,FATAL,1,0
86,2016-0113,1,2016-08-27,16.0,AVENIDA,9.0,-58.49603546,-34.64564271,PEATON,PASAJEROS,FATAL,1,0
87,2016-0114,1,2016-08-31,11.0,CALLE,14.0,-58.41848605,-34.59394733,BICICLETA,CARGAS,FATAL,1,0
88,2016-0115,1,2016-09-02,11.0,CALLE,12.0,-58.48935041,-34.54917673,,CARGAS,FATAL,1,0
89,2016-0116,1,2016-09-02,20.0,AVENIDA,8.0,-58.44451316,-34.68475866,MOTO,AUTO,FATAL,1,0
90,2016-0117,1,2016-09-03,15.0,AVENIDA,14.0,-58.39936478,-34.58271474,AUTO,AUTO,FATAL,1,0
91,2016-0118,1,2016-09-04,3.0,AUTOPISTA,1.0,-58.37936704,-34.62694503,AUTO,AUTO,FATAL,1,0
92,2016-0119,1,2016-09-04,6.0,AVENIDA,12.0,-58.49659234,-34.56353635,,,FATAL,1,0
93,2016-0122,1,2016-09-13,7.0,AVENIDA,9.0,-58.47256391,-34.65194557,BICICLETA,PASAJEROS,FATAL,1,0
94,2016-0123,1,2016-09-14,9.0,AVENIDA,7.0,-58.45130953,-34.64053676,MOTO,AUTO,FATAL,1,0
95,2016-0124,1,2016-09-16,15.0,AVENIDA,7.0,-58.46271207,-34.62884871,PEATON,PASAJEROS,FATAL,1,0
96,2016-0125,1,2016-09-17,12.0,AUTOPISTA,10.0,-58.49020869,-34.64243791,MOTO,MOTO,FATAL,1,0
97,2016-0126,2,2016-09-18,22.0,CALLE,10.0,-58.52572109,-34.62125906,AUTO,CARGAS,FATAL,1,0
98,2016-0127,1,2016-09-24,10.0,AVENIDA,8.0,-58.44094791,-34.66677111,PEATON,PASAJEROS,FATAL,1,0
99,2016-0128,1,2016-10-02,11.0,AVENIDA,5.0,-58.41914024,-34.6305389,PEATON,PASAJEROS,FATAL,1,0
100,2016-0130,1,2016-10-04,12.0,AUTOPISTA,1.0,-58.37910942,-34.62764717,MOTO,CARGAS,FATAL,1,0
101,2016-0131,1,2016-10-09,19.0,CALLE,4.0,-58.39871183,-34.64539318,PEATON,AUTO,FATAL,1,0
102,2016-0132,1,2016-10-10,2.0,AVENIDA,3.0,-58.41036975,-34.62477021,AUTO,PASAJEROS,FATAL,1,0
103,2016-0133,1,2016-10-14,0.0,AVENIDA,14.0,-58.40204698,-34.5834269,MOTO,AUTO,FATAL,1,0
104,2016-0134,1,2016-10-23,5.0,AVENIDA,8.0,-58.48935287,-34.67648597,MOTO,OBJETO FIJO,FATAL,1,0
105,2016-0135,1,2016-10-24,5.0,AVENIDA,14.0,-58.42260225,-34.56403694,PEATON,,FATAL,1,0
106,2016-0136,1,2016-10-25,0.0,AUTOPISTA,4.0,,,MOTO,CARGAS,FATAL,1,0
107,2016-0137,1,2016-10-25,0.0,AVENIDA,11.0,-58.51537091,-34.59035925,MOTO,MOTO,FATAL,1,0
108,2016-0138,1,2016-10-27,20.0,AVENIDA,13.0,-58.4590967,-34.55922742,BICICLETA,CARGAS,FATAL,1,0
109,2016-0139,1,2016-10-28,23.0,AVENIDA,14.0,-58.42008769,-34.56539579,MOTO,MOTO,FATAL,1,0
110,2016-0140,1,2016-10-31,2.0,AVENIDA,13.0,-58.45566399,-34.56147293,PASAJEROS,PASAJEROS,FATAL,1,0
111,2016-0142,1,2016-11-05,23.0,AVENIDA,1.0,-58.37533517,-34.59276462,MOTO,PASAJEROS,FATAL,1,0
112,2016-0143,1,2016-11-06,4.0,AVENIDA,8.0,-58.44451316,-34.68475866,MOTO,,FATAL,1,0
113,2016-0144,1,2016-11-07,12.0,AVENIDA,4.0,-58.35975012,-34.63343907,PEATON,PASAJEROS,FATAL,1,0
114,2016-0145,1,2016-11-07,20.0,AVENIDA,13.0,-58.44523595,-34.55953855,MOTO,AUTO,FATAL,1,0
115,2016-0146,1,2016-11-09,20.0,AVENIDA,4.0,-58.39626094,-34.63036565,PEATON,PASAJEROS,FATAL,1,0
116,2016-0147,1,2016-11-16,21.0,AVENIDA,1.0,-58.38896772,-34.61799615,MOVIL,PASAJEROS,FATAL,1,0
117,2016-0148,1,2016-11-16,22.0,AVENIDA,15.0,-58.46536113,-34.59484504,MOTO,MOTO,FATAL,1,0
118,2016-0150,1,2016-11-18,18.0,AVENIDA,4.0,-58.40879146,-34.65273216,CARGAS,CARGAS,FATAL,1,0
119,2016-0151,1,2016-11-18,20.0,CALLE,,,,PEATON,,FATAL,1,0
120,2016-0152,1,2016-11-23,21.0,AVENIDA,7.0,-58.46451841,-34.64991946,MOTO,AUTO,FATAL,1,0
121,2016-0153,1,2016-11-25,15.0,AVENIDA,15.0,-58.4291709,-34.59485488,PEATON,MOTO,FATAL,1,0
122,2016-0154,1,2016-11-26,14.0,AVENIDA,8.0,-58.49007772,-34.68251141,MOTO,MOTO,FATAL,1,0
123,2016-0155,1,2016-11-26,16.0,CALLE,10.0,-58.52756365,-34.62772274,PEATON,AUTO,FATAL,1,0
124,2016-0156,1,2016-11-26,19.0,AVENIDA,3.0,-58.40638983,-34.61943202,MOTO,PASAJEROS,FATAL,1,0
125,2016-0157,1,2016-12-03,6.0,AVENIDA,11.0,-58.47576807,-34.61740997,MOTO,MOTO,FATAL,1,0
126,2016-0159,1,2016-12-04,7.0,AVENIDA,8.0,-58.44451316,-34.68475866,AUTO,,FATAL,1,0
127,2016-0160,1,2016-12-06,5.0,AUTOPISTA,9.0,-58.51927194,-34.63635787,CARGAS,OBJETO FIJO,FATAL,1,0
128,2016-0161,1,2016-12-06,7.0,AVENIDA,14.0,-58.42525456,-34.57866344,PEATON,PASAJEROS,FATAL,1,0
129,2016-0162,1,2016-12-07,5.0,AVENIDA,15.0,-58.45396573,-34.58518167,PEATON,AUTO,FATAL,1,0
130,2016-0163,1,2016-12-10,7.0,AVENIDA,11.0,-58.52340614,-34.59798754,MOTO,AUTO,FATAL,1,0
131,2016-0164,1,2016-12-11,6.0,AVENIDA,4.0,-58.42323628,-34.64119105,AUTO,AUTO,FATAL,1,0
132,2016-0165,1,2016-12-12,8.0,AVENIDA,4.0,-58.36926144,-34.62841919,BICICLETA,PASAJEROS,FATAL,1,0
133,2016-0168,1,2016-12-13,10.0,AVENIDA,4.0,-58.42323628,-34.64119105,MOTO,AUTO,FATAL,1,0
134,2016-0169,1,2016-12-15,15.0,AVENIDA,12.0,-58.47935434,-34.55676497,MOTO,PASAJEROS,FATAL,1,0
135,2016-0170,1,2016-12-19,17.0,AVENIDA,12.0,-58.50598256,-34.5637998,MOTO,AUTO,FATAL,1,0
136,2016-0171,1,2016-12-25,19.0,AUTOPISTA,1.0,-58.36607137,-34.62150748,MOTO,MOTO,FATAL,1,0
137,2016-0172,1,2016-12-26,8.0,AVENIDA,5.0,-58.41918902,-34.63174259,MOTO,CARGAS,FATAL,1,0
138,2016-0173,1,2016-12-26,19.0,AVENIDA,7.0,-58.46749188,-34.63551751,MOTO,CARGAS,FATAL,1,0
139,2016-0174,1,2016-12-27,0.0,AUTOPISTA,,,,,,FATAL,1,0
140,2016-0175,1,2016-12-27,8.0,CALLE,7.0,-58.46064174,-34.62960517,PEATON,BICICLETA,FATAL,1,0
141,2016-0176,1,2016-12-28,1.0,AVENIDA,1.0,-58.36956186,-34.61232875,MOTO,PASAJEROS,FATAL,1,0
142,2016-0177,1,2016-12-29,4.0,CALLE,14.0,-58.40966671,-34.58788235,PEATON,AUTO,FATAL,1,0
143,2016-0178,1,2016-12-30,16.0,CALLE,3.0,-58.40288226,-34.61544091,PEATON,MULTIPLE,FATAL,1,0
144,2017-0001,1,2017-01-02,1.0,AVENIDA,11.0,-58.4659423,-34.61028571,MOTO,CARGAS,FATAL,1,0
145,2017-0003,1,2017-01-05,3.0,AVENIDA,4.0,-58.38957669,-34.64410277,CARGAS,CARGAS,FATAL,1,0
146,2017-0007,1,2017-01-11,17.0,CALLE,1.0,-58.3816166,-34.61529543,PEATON,MULTIPLE,FATAL,1,0
147,2017-0008,1,2017-01-16,0.0,CALLE,14.0,-58.43917004,-34.58494351,MOTO,PASAJEROS,FATAL,1,0
148,2017-0009,1,2017-01-16,13.0,AUTOPISTA,5.0,-58.41595919,-34.62743346,MOTO,CARGAS,FATAL,1,0
149,2017-0010,1,2017-01-16,16.0,AVENIDA,6.0,-58.4356488,-34.62828656,MOTO,AUTO,FATAL,1,0
150,2017-0011,1,2017-01-22,2.0,AVENIDA,12.0,-58.5007381,-34.5497951,MOTO,OBJETO FIJO,FATAL,1,0
151,2017-0012,1,2017-01-24,14.0,CALLE,4.0,-58.40969005,-34.6505529,MOTO,CARGAS,FATAL,1,0
152,2017-0013,1,2017-01-27,7.0,AVENIDA,4.0,-58.38972622,-34.65098981,PEATON,CARGAS,FATAL,1,0
153,2017-0014,1,2017-01-28,8.0,AVENIDA,12.0,-58.49185972,-34.55046754,MOTO,MULTIPLE,FATAL,1,0
154,2017-0015,1,2017-02-02,15.0,AVENIDA,2.0,-58.39293417,-34.59963642,PEATON,AUTO,FATAL,1,0
155,2017-0016,1,2017-02-03,5.0,AUTOPISTA,1.0,-58.38099494,-34.62288231,MOTO,CARGAS,FATAL,1,0
156,2017-0017,1,2017-02-06,8.0,AVENIDA,14.0,-58.429012,-34.58095431,MOTO,AUTO,FATAL,1,0
157,2017-0018,1,2017-02-09,7.0,AVENIDA,9.0,-58.50877521,-34.66977709,MOTO,AUTO,FATAL,1,0
158,2017-0021,1,2017-02-18,5.0,CALLE,1.0,-58.38362373,-34.60509972,MOTO,PASAJEROS,FATAL,1,0
159,2017-0024,1,2017-02-23,20.0,AVENIDA,7.0,-58.46589308,-34.62955795,PEATON,PASAJEROS,FATAL,1,0
160,2017-0025,1,2017-02-24,17.0,AVENIDA,7.0,-58.43614426,-34.6542464,MOTO,,FATAL,1,0
161,2017-0026,2,2017-02-26,5.0,AVENIDA,4.0,-58.41842777,-34.64979057,AUTO,OBJETO FIJO,FATAL,1,0
162,2017-0027,1,2017-02-26,21.0,AVENIDA,1.0,-58.38332245,-34.6319325,PEATON,AUTO,FATAL,1,0
163,2017-0028,1,2017-02-28,9.0,AVENIDA,6.0,-58.45475488,-34.61196327,PEATON,AUTO,FATAL,1,0
164,2017-0029,1,2017-03-07,2.0,CALLE,9.0,-58.48501341,-34.64742455,,AUTO,FATAL,1,0
165,2017-0030,1,2017-03-07,8.0,AVENIDA,9.0,-58.47010988,-34.65872088,AUTO,PASAJEROS,FATAL,1,0
166,2017-0031,1,2017-03-11,1.0,CALLE,3.0,-58.4099756,-34.62873635,AUTO,OBJETO FIJO,FATAL,1,0
167,2017-0032,1,2017-03-12,5.0,AVENIDA,8.0,-58.48892175,-34.68359163,AUTO,AUTO,FATAL,1,0
168,2017-0033,1,2017-03-12,7.0,AVENIDA,11.0,-58.52466448,-34.60325478,AUTO,AUTO,FATAL,1,0
169,2017-0034,1,2017-03-13,7.0,CALLE,14.0,-58.42554218,-34.57929036,PEATON,AUTO,FATAL,1,0
170,2017-0035,3,2017-03-23,5.0,AVENIDA,1.0,-58.35881506,-34.61113641,AUTO,OBJETO FIJO,FATAL,1,0
171,2017-0036,2,2017-03-29,18.0,AVENIDA,12.0,-58.51452347,-34.58159762,MOTO,PASAJEROS,FATAL,1,0
172,2017-0037,1,2017-03-31,3.0,AVENIDA,1.0,-58.38896772,-34.61799615,MOTO,CARGAS,FATAL,1,0
173,2017-0038,1,2017-04-01,19.0,AVENIDA,7.0,-58.44516857,-34.64363363,MOTO,AUTO,FATAL,1,0
174,2017-0040,1,2017-04-03,9.0,AVENIDA,13.0,-58.43834197,-34.54560369,AUTO,MULTIPLE,FATAL,1,0
175,2017-0041,1,2017-04-03,23.0,CALLE,7.0,-58.45485084,-34.63531854,MOTO,AUTO,FATAL,1,0
176,2017-0042,1,2017-04-10,9.0,AVENIDA,14.0,,,MOTO,CARGAS,FATAL,1,0
177,2017-0045,1,2017-04-14,6.0,CALLE,10.0,-58.52449285,-34.62454175,MOTO,OBJETO FIJO,FATAL,1,0
178,2017-0047,1,2017-04-23,6.0,AVENIDA,8.0,-58.46713742,-34.6719879,MOTO,AUTO,FATAL,1,0
179,2017-0049,1,2017-04-27,18.0,AVENIDA,8.0,-58.43850413,-34.65554754,PEATON,PASAJEROS,FATAL,1,0
180,2017-0050,2,2017-04-28,11.0,AUTOPISTA,9.0,,,MOTO,CARGAS,FATAL,1,0
181,2017-0051,1,2017-05-01,3.0,AUTOPISTA,7.0,,,AUTO,AUTO,FATAL,1,0
182,2017-0052,1,2017-05-05,3.0,AVENIDA,8.0,-58.49413799,-34.68095739,PEATON,CARGAS,FATAL,1,0
183,2017-0053,1,2017-05-05,20.0,CALLE,4.0,-58.37547846,-34.65326075,MOTO,CARGAS,FATAL,1,0
184,2017-0054,1,2017-05-07,21.0,AVENIDA,15.0,-58.48680218,-34.58689719,MOTO,AUTO,FATAL,1,0
185,2017-0055,1,2017-05-09,8.0,AVENIDA,12.0,-58.49563989,-34.57962262,AUTO,AUTO,FATAL,1,0
186,2017-0058,1,2017-05-09,23.0,AVENIDA,1.0,-58.38403232,-34.5991594,PEATON,MOTO,FATAL,1,0
187,2017-0059,1,2017-05-11,9.0,CALLE,1.0,-58.38223382,-34.62693865,PEATON,PASAJEROS,FATAL,1,0
188,2017-0060,1,2017-05-13,7.0,AVENIDA,8.0,-58.45966521,-34.67323292,MOTO,OBJETO FIJO,FATAL,1,0
189,2017-0061,1,2017-05-15,13.0,AVENIDA,2.0,-58.39303911,-34.59871111,PEATON,MOTO,FATAL,1,0
190,2017-0062,1,2017-05-15,16.0,AVENIDA,10.0,-58.51262106,-34.63395999,MOTO,CARGAS,FATAL,1,0
191,2017-0063,1,2017-05-17,10.0,AVENIDA,1.0,-58.38118367,-34.61646839,PEATON,PASAJEROS,FATAL,1,0
192,2017-0064,1,2017-05-20,5.0,CALLE,1.0,-58.37653284,-34.60582475,CARGAS,AUTO,FATAL,1,0
193,2017-0065,1,2017-05-22,16.0,AVENIDA,4.0,-58.37709334,-34.64035082,BICICLETA,CARGAS,FATAL,1,0
194,2017-0066,1,2017-05-22,18.0,AVENIDA,15.0,-58.46002142,-34.60409469,PEATON,PASAJEROS,FATAL,1,0
195,2017-0067,1,2017-05-23,2.0,AVENIDA,6.0,-58.4338197,-34.62801894,MOTO,CARGAS,FATAL,1,0
196,2017-0068,1,2017-05-27,19.0,AVENIDA,8.0,-58.43580656,-34.66437532,MOTO,OBJETO FIJO,FATAL,1,0
197,2017-0069,1,2017-05-24,14.0,AVENIDA,9.0,-58.52173071,-34.65997463,MOTO,,FATAL,1,0
198,2017-0070,1,2017-05-30,13.0,CALLE,11.0,-58.50791763,-34.59804273,PEATON,AUTO,FATAL,1,0
199,2017-0072,1,2017-06-03,23.0,AVENIDA,12.0,-58.49175088,-34.58226957,AUTO,AUTO,FATAL,1,0
200,2017-0073,1,2017-06-04,9.0,AVENIDA,3.0,-58.40781467,-34.60425669,MOTO,AUTO,FATAL,1,0
201,2017-0074,1,2017-06-04,12.0,CALLE,9.0,-58.52567073,-34.63787791,,,FATAL,1,0
202,2017-0075,1,2017-06-12,22.0,AVENIDA,1.0,-58.381542,-34.60906385,PEATON,MOTO,FATAL,1,0
203,2017-0076,1,2017-06-13,14.0,AVENIDA,2.0,-58.38526125,-34.5780581,PEATON,CARGAS,FATAL,1,0
204,2017-0077,1,2017-06-17,23.0,CALLE,14.0,-58.42934104,-34.58451712,MOTO,CARGAS,FATAL,1,0
205,2017-0079,1,2017-06-19,16.0,CALLE,3.0,-58.40657493,-34.61781124,MOTO,CARGAS,FATAL,1,0
206,2017-0080,1,2017-06-22,10.0,AVENIDA,9.0,-58.49525314,-34.64487785,PEATON,CARGAS,FATAL,1,0
207,2017-0082,1,2017-06-25,22.0,AVENIDA,4.0,-58.39092851,-34.62932696,PEATON,AUTO,FATAL,1,0
208,2017-0083,1,2017-07-04,0.0,AVENIDA,9.0,-58.49603546,-34.64564271,MOTO,CARGAS,FATAL,1,0
209,2017-0084,1,2017-07-05,12.0,AVENIDA,2.0,-58.38502878,-34.58703485,PEATON,PASAJEROS,FATAL,1,0
210,2017-0085,1,2017-07-07,14.0,AVENIDA,4.0,-58.37261143,-34.63150425,PEATON,PASAJEROS,FATAL,1,0
211,2017-0086,1,2017-07-09,7.0,AVENIDA,9.0,-58.51876802,-34.63905965,PEATON,MOTO,FATAL,1,0
